Display,Location
"3500 Ellery Common, Central District, Fremont",[-121.97688645   37.54503891]
"39300 Wilford Street, Sundale, Fremont",[-121.98557065   37.53914815]
"5200 Selma Avenue, Centerville, Fremont",[-122.0087442   37.5372988]
"42600 Everglades Park Drive, Blacow, Fremont",[-121.97587063   37.51987644]
"4100 Piedmont Terrace, Vineyards - Avalon, Fremont",[-121.89675341   37.48634378]
"6900 65th Street, Sacramento",[-121.43996978   38.50199767]
"2500 Cooper Avenue, Merced",[-120.51068563   37.31416689]
"1100 Prospect Street, Seaside",[-121.84457822   36.60125422]
"500 Winchester Court, Maidu, Roseville",[-121.242642     38.73637934]
"1600 Misty Wood Drive, Pleasant Grove, Roseville",[-121.32194967   38.77851804]
"800 Spur Court, Whitney Ranch, Rocklin",[-121.27453692   38.82613092]
"2100 Fieldcrest Avenue, Fairfield",[-122.05216156   38.29282719]
"300 West Humboldt Street, Central San Jose, San Jose",[-121.8815286   37.3160018]
"0 Napa Road, Sonoma",[-122.46411223   38.28085981]
"700 Lakeville Circle, Petaluma",[-122.59061478   38.2394685 ]
"2000 Harmil Way, Central San Jose, San Jose",[-121.89277765   37.29441535]
"1400 Thomas Avenue, Bayview, San Francisco",[-122.38722722   37.72773878]
"1500 California Street, Polk Gulch, San Francisco",[-122.41942518   37.790887  ]
"0 Farren Street, Western Addition, San Francisco",[-122.43822723   37.78142685]
"0 Berkeley Way, Diamond Heights, San Francisco",[-122.4400614    37.74062223]
"2700 25th Street, Mission District, San Francisco",[-122.40654918   37.75195127]
"300 Mason Street, Healdsburg",[-122.86523788   38.61094153]
"9400 Kimbrough Court, Sherwoods Manor, Stockton",[-121.35548459   38.03553795]
"9100 North El Dorado Street, Bear Creek, Stockton",[-121.31925869   38.03602592]
"300 Ruth Avenue, Monta Loma, Mountain View",[-122.10147425   37.41009512]
"2200 Wyandotte Street, Mountain View",[-122.09666635   37.41760035]
"300 East 9th Street, Gilroy",[-121.56548974   37.00267126]
"100 Berry Street, Santa Cruz",[-122.00787143   36.9841656 ]
"300 Heathcliff Drive, Westview, Pacifica",[-122.47701734   37.65096872]
"700 Industrial Road, San Carlos",[-122.25537967   37.51076555]
"Lincoln Highway, West Sacramento",[-121.52432681   38.57168929]
"27200 Meadowbrook Drive, Old Willowbank, Davis",[-121.7055615    38.54004868]
"1100 Cornell Drive, Sycamore South, Davis",[-121.7641544   38.5531135]
"5900 Old Highway 53, Clearlake",[-122.63033415   38.93717774]
"2200 Bonar Street, Poets Corner, Berkeley",[-122.28688242   37.86603633]
"600 Hilldale Avenue, Berkeley Hills, Berkeley",[-122.26718588   37.90049106]
"500 10th Street, Downtown Oakland, Oakland",[-122.2760425   37.801698 ]
"2400 19th Avenue, Highland Terrace, Oakland",[-122.23372574   37.794201  ]
"3100 Overlook Way, Richmond",[-122.33036289   37.9822573 ]
"1300 17th Street, San Pablo",[-122.35316963   37.95459869]
"500 Mount Street, East Richmond, Richmond",[-122.32160154   37.93877086]
"35500 Ebro Court, Centerville, Fremont",[-122.03002593   37.56278579]
"4300 Baine Avenue, Centerville, Fremont",[-122.00936808   37.55459388]
"39000 State Street, Central District, Fremont",[-121.98566871   37.55096253]
"Bidwell Canyon Road, Oroville",[-121.47147358   39.52949023]
"1900 Sandcreek Way, Alameda",[-122.25890742   37.76225767]
"400 West Sunset Boulevard, Hayward",[-122.11005063   37.66779419]
"200 Ramona Avenue, El Cerrito",[-122.29155535   37.9051078 ]
"4300 Berkwood Court, El Dorado Hills",[-121.0594478    38.68160882]
"1000 Salmon Drive, Cirby Side, Roseville",[-121.26782571   38.73577819]
"3500 Sluice Box Road, Placerville",[-120.77858921   38.71897998]
"1200 Hayes Street, Western Addition, San Francisco",[-122.43797589   37.77486511]
"10400 South Austin Road, Manteca",[-121.1924648    37.85405171]
"3600 Farnham Court, Tracy",[-121.44434981   37.7145091 ]
"1000 Fulton Street, Roosevelt, Redwood City",[-122.23273952   37.476335  ]
"100 Edgemar Street, Crocker, Daly City",[-122.44502811   37.70530084]
"1500 Sunnyslope Avenue, Belmont",[-122.27974908   37.51372517]
"1100 Rosewood Avenue, San Carlos",[-122.25785407   37.4984025 ]
"1900 Phillip Court, Weston Ranch, Stockton",[-121.31127269   37.9100484 ]
"11500 North Ham Lane, Lodi",[-121.27053246   38.07464158]
"Unnamed Road, Isleton",[-121.69086872   38.09910856]
"20000 Merritt Drive, Cupertino",[-122.02264938   37.33303877]
"1200 Castec Drive, Arden Park Vista, Sacramento",[-121.376432     38.58583871]
"4300 Silva Court, Palo Alto",[-122.11577088   37.4065385 ]
"2300 Oak Harbour Drive, North Sacramento, Sacramento",[-121.51773494   38.60867356]
"2000 Waverley Street, Old Palo Alto, Palo Alto",[-122.144917    37.4354766]
"1900 Stowe Avenue, Alum Rock, San Jose",[-121.84720817   37.35521317]
"7000 Brayton Avenue, Brook Tree North, Citrus Heights",[-121.303845     38.67142275]
"5800 Bosco Way, Southeastern Sacramento, Sacramento",[-121.41905642   38.5216285 ]
"1100 South 8th Street, Central San Jose, San Jose",[-121.87046646   37.32287238]
"1000 Glenfinnan Drive, South San Jose, San Jose",[-121.8439465    37.32011058]
"2100 South 10th Street, South San Jose, San Jose",[-121.85624358   37.31276608]
"1100 Littleoak Circle, West San Jose, San Jose",[-122.00237055   37.29940273]
"100 Texas Street, Travis Air Force Base, Fairfield",[-121.94562931   38.2787159 ]
"5800 Leisure Town Road, Vacaville",[-121.94347814   38.33207403]
"700 Dellwood Court, Vacaville",[-121.98625694   38.37857921]
"0 Maria Drive, Petaluma",[-122.61891067   38.25354377]
"1300 West Canal Drive, Turlock",[-120.86277823   37.49846515]
"10900 Metteer Road, Live Oak",[-121.63941221   39.27777094]
"3500 Brooks Avenue, Santa Rosa",[-122.70757011   38.403855  ]
"400 Steele Lane, West Junior College, Santa Rosa",[-122.72355519   38.46005043]
"1300 14th Street, Junior College Neighborhood Association, Santa Rosa",[-122.7067445   38.4484162]
"2000 Rose Avenue, Modesto",[-120.9673274   37.6717794]
"400 West Whitmore Avenue, Modesto",[-121.00314607   37.59787643]
"1500 Menlo Avenue, Napa",[-122.30112887   38.311181  ]
"1000 Cunningham Street, Ukiah",[-123.2031009    39.13595966]
"1000 Drakeley Avenue, Atwater",[-120.60271837   37.34636305]
"1500 Dayton Road, Chico",[-121.85183437   39.71286234]
"36700 Z Line Road, Clarksburg",[-121.58228894   38.4307224 ]
"500 20th Street, Downtown Oakland, Oakland",[-122.27249089   37.80890678]
"10400 Lansdale Avenue, Cupertino",[-122.02222958   37.31491542]
"400 Giannini Drive, Santa Clara",[-122.00413505   37.33004016]
"800 Rattan Terrace, Ponderosa Park, Sunnyvale",[-122.010273     37.35863281]
"400 North Mary Avenue, Sunnyvale West, Sunnyvale",[-122.04281532   37.39076644]
"Chynoweth Avenue, South San Jose, San Jose",[-121.83737224   37.25770135]
"100 Cheltenham Way, South San Jose, San Jose",[-121.7646813    37.22305783]
"1700 Klamath Drive, Salinas",[-121.63638505   36.710204  ]
"600 San Jon Road, Salinas",[-121.69030021   36.71747106]
"Canyon Del Rey Boulevard, Del Rey Oaks",[-121.83985048   36.59184912]
"1500 Lees Lane, Auburn",[-121.09359337   38.85458551]
"7400 Jacinto Road, Southwestern Sacramento, Elk Grove",[-121.41849852   38.44774614]
"2700 Glen Arven Way, North Sacramento, Sacramento",[-121.49061553   38.61723647]
"6700 Bodine Circle, Southwestern Sacramento, Sacramento",[-121.42543807   38.46790433]
"2200 Franklin Street, Pacific Heights, San Francisco",[-122.4244947   37.7941523]
"1500 Kern Street, Newman",[-121.02918255   37.3063154 ]
"300 Stoakes Avenue, Farrelly Pond District, San Leandro",[-122.16620275   37.73216555]
"14700 Doolittle Drive, Marina Faire, San Leandro",[-122.16986713   37.68597079]
"900 Rose Street, North Hayward, Hayward",[-122.09472491   37.68069936]
"800 Downswood Court, South San Jose, San Jose",[-121.83411196   37.2050757 ]
"3300 Betty Lane, Lafayette",[-122.10529929   37.86900374]
"100 Zanzibar Drive, Aptos",[-121.87636809   36.96297348]
"3100 Garden Avenue, South San Jose, San Jose",[-121.83865514   37.28883736]
"2600 Sibelius Avenue, Evergreen, San Jose",[-121.81474553   37.31850768]
"500 North 7th Street, Central San Jose, San Jose",[-121.89315027   37.34730018]
"500 Hull Avenue, Central San Jose, San Jose",[-121.89770884   37.3161016 ]
"3500 Willow Road, Bethel Island",[-121.61627936   38.03130709]
"600 Sonoma Avenue, Livermore",[-121.78865192   37.67251192]
"4700 Orange Grove Avenue, Sacramento",[-121.35901869   38.64735686]
"5600 Miners Ranch Road, Oroville",[-121.46260501   39.49091344]
"3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland",[-122.25936753   37.81699182]
"1500 3rd Street, Napa",[-122.28827739   38.29594128]
"1900 East Oak Street, Park, Stockton",[-121.26784405   37.96819005]
"0 South Almaden Boulevard, Central San Jose, San Jose",[-121.89712546   37.32792081]
"500 West Lassen Avenue, Chico",[-121.87578627   39.75391082]
"1800 Vicente Street, Sunset District, San Francisco",[-122.48534053   37.73789076]
"300 Springpark Circle, South San Jose, San Jose",[-121.84604581   37.26997556]
"1500 4th Street, Central Sacramento, Sacramento",[-121.50604733   38.57589689]
"Paine Creek, Paicines",[-121.09424009   36.51043105]
"South San Joaquin Rocks Lookout Road, Coalinga",[-120.5249799    36.19335053]
"2600 Kelley Avenue, San Pablo",[-122.35104111   37.96947961]
"4700 Oak Ford Way, Hillsdale, Sacramento",[-121.35457707   38.6793674 ]
"700 Altino Boulevard, South San Jose, San Jose",[-121.86115903   37.28907029]
"600 Aileen Street, Upper Telegraph, Oakland",[-122.265228     37.84162827]
"47400 Fernald Street, Warm Springs, Fremont",[-121.91955873   37.48304153]
"4800 Ganner Court, Pleasanton",[-121.89020932   37.68073711]
"Stag Point Trail, Meadow Valley",[-120.93211614   39.86432781]
"200 Hillcrest Avenue, Livermore",[-121.7527539    37.68524986]
"900 Jessica Drive, Livermore",[-121.72495564   37.68944221]
"2500 Kennedy Avenue, Chico",[-121.879813     39.73506492]
"2000 East 20th Street, Chico",[-121.79945804   39.72615512]
"Unnamed Road, Coulterville",[-120.14089166   37.69652208]
"52000 North Highway 101, Westport",[-123.56187977   39.68962741]
"200 Chaparral Street, Salinas",[-121.64394462   36.70377256]
"Unnamed Road, Greenville",[-120.97216031   40.04383634]
"1300 15th Street, Mission District, San Francisco",[-122.41296383   37.76879356]
"1100 Guerrero Street, Mission District, San Francisco",[-122.42309915   37.75153462]
"600 Alabama Street, Mission District, San Francisco",[-122.4138035    37.76112392]
"300 Wilde Avenue, Visitacion Valley, San Francisco",[-122.40341932   37.71648358]
"100 Ramsell Street, Oceanview, San Francisco",[-122.46749784   37.71344421]
"200 16th Avenue, Richmond District, San Francisco",[-122.47583367   37.78367678]
"500 Washington Street, Financial District, San Francisco",[-122.4050811   37.7956791]
"600 North Church Street, Lodi",[-121.2784507   38.1413066]
"1700 Crom Street, Manteca",[-121.24395978   37.80644778]
"400 Martinelli Street, Watsonville",[-121.75483932   36.92733524]
"3700 Lake Ontario Drive, Lakes and Birds, Fremont",[-122.05711487   37.58414507]
"38100 Hastings Court, Centerville, Fremont",[-121.9904949   37.5590555]
"41700 Covington Drive, Mission Valley, Fremont",[-121.94370414   37.53182936]
"4500 Richmond Avenue, Centerville, Fremont",[-121.99765079   37.54490857]
"43500 Southerland Way, Cameron Hills, Fremont",[-121.93139776   37.52254786]
"Valley Avenue, Pleasanton",[-121.89918045   37.66929085]
"2700 Dublin Boulevard, Dublin",[-121.85998093   37.70590813]
"5500 Stockton Loop, Livermore",[-121.74166259   37.675342  ]
"500 Fontonett Avenue, Livermore",[-121.79010021   37.6639815 ]
"1900 Roosevelt Avenue, Belding Woods, Richmond",[-122.35330871   37.94165457]
"Unnamed Road, Kyburz",[-120.50702141   38.85255252]
"3300 Fairway Drive, Cameron Park",[-120.99141077   38.68314023]
"7600 9N54, Somerset",[-120.55887905   38.61313413]
"14000 Jasper Street, Lathrop",[-121.28319656   37.83328922]
"300 Glenbriar Circle, Tracy",[-121.42331512   37.71067976]
"300 West Lowell Avenue, Tracy",[-121.43058387   37.74650144]
"1000 Beech Street, East Palo Alto",[-122.12836294   37.46376435]
"County Jail Road, San Bruno",[-122.45958964   37.62756216]
"100 Domestic Terminals Departures Level, San Francisco",[-122.38475943   37.62079926]
"300 East San Salvador Street, Central San Jose, San Jose",[-121.88025614   37.33302243]
"5900 Ellerslee Drive, Merrihill, Carmichael",[-121.32002      38.66484382]
"300 Orchard Avenue, Lowlanders, Sunnyvale",[-122.0253844   37.3855895]
"100 Walk Circle, Santa Cruz",[-122.03474278   36.95901056]
"100 Elena Court, Scotts Valley",[-122.03130736   37.02066259]
"0 Mann Avenue, Watsonville",[-121.78432372   36.95744969]
"0 Pinheiro Circle, Novato",[-122.57202663   38.11057808]
"0 El Pavo Real Circle, San Rafael",[-122.54804533   37.99870833]
"0 Charlotte Drive, San Rafael",[-122.506893     37.96673406]
"San Quentin Terrace, San Quentin",[-122.49141056   37.940305  ]
"Unnamed Road, Willits",[-123.38036961   39.42629461]
"0 Conifer Square, Rohnert Park",[-122.69431909   38.34797636]
"0 Santa Barbara Avenue, Salinas",[-121.6695575   36.6782125]
"Unnamed Road, Tehama County, California, United States",[-121.83071008   40.28120464]
"Unnamed Road, Pinecrest",[-119.98831644   38.10974654]
"4700 Andy Wolf Road, Garden Valley",[-120.76748711   38.90906417]
"5900 Southview Drive, Edenvale, San Jose",[-121.78954715   37.25094654]
"1200 Rodriguez Street, Santa Cruz",[-121.9896193    36.98288748]
"1000 Shasta Street, Vallejo",[-122.23599321   38.11662157]
"200 Firethorn Drive, Rohnert Park",[-122.70095423   38.368102  ]
"Unnamed Road, Cazadero",[-123.15296847   38.58201734]
"7000 Canevalley Circle, Antelope Woods, Citrus Heights",[-121.30711672   38.71624978]
"10700 Campana Way, Glenfaire, Rancho Cordova",[-121.2819771   38.6123833]
"9000 Williamson Court, Sunrise Homes, Sacramento",[-121.363063   38.542715]
"1100 Princess Drive, Bear Creek, Stockton",[-121.32783481   38.03387044]
"1800 East March Lane, Valley Oak, Stockton",[-121.2858231   38.002628 ]
"14200 Beckman Road, Lodi",[-121.26193842   38.11099958]
"1000 Vallejo Street, Santa Rosa",[-122.7089775    38.43523986]
"8700 Crane Road, Oakdale",[-120.86751914   37.77032679]
"300 Irwin Street, San Rafael",[-122.52240637   37.96034637]
"900 California 128, Philo",[-123.48198365   39.11634283]
"3200 Heather Glen Lane, Atwater",[-120.5945305    37.36618479]
"6800 Red Maple Way, Citrus Heights",[-121.26740927   38.690686  ]
"1100 Cedar Street, Santa Cruz",[-122.029756    36.9759374]
"0 Banbury Way, Benicia",[-122.15697945   38.07067195]
"400 East Tabor Avenue, Fairfield",[-122.02999345   38.26482991]
"8200 White Sands Way, Scottsdale East, Sacramento",[-121.40267656   38.48994467]
"1300 Sundown Lane, Alum Rock, San Jose",[-121.8185292   37.347803 ]
"400 Calero Avenue, South San Jose, San Jose",[-121.82339887   37.2413362 ]
"2300 Harper Street, Santa Cruz",[-121.97706594   36.97716244]
"2800 Florida Street, Vallejo",[-122.22373725   38.10430467]
"700 Monte Carlo Drive, Suisun City",[-121.98119395   38.25793357]
"500 El Paseo Drive, Sobrante Park, Oakland",[-122.17808107   37.72840157]
"800 East 19th Street, Chapmantown, Chico",[-121.81557212   39.72154036]
"1300 Portsmouth Street, Oakley",[-121.73145353   37.98364689]
"1600 Sutter Street, Concord",[-122.03688763   37.97464837]
"1000 Detroit Avenue, Concord",[-122.0286395    37.95440173]
"100 Valley Hill Drive, Moraga",[-122.0990054   37.8458706]
"6100 San Pablo Avenue, Paradise Park, Oakland",[-122.28380106   37.84682622]
"300 45th Street, Temescal, Oakland",[-122.258969     37.82921363]
"1600 Maritime Street, Oakland",[-122.30427582   37.81783039]
"1000 10th Street, West Oakland, Oakland",[-122.2850077   37.8056102]
"2600 Logan Street, Meadow Brook, Oakland",[-122.22517562   37.789474  ]
"14700 Wiley Street, Washington Manor - Bonaire, San Leandro",[-122.15790814   37.69737105]
"27000 Manon Avenue, Harder - Tennyson, Hayward",[-122.073556     37.63825482]
"4200 Gemini Drive, Union City",[-122.068416   37.585317]
"0 Rollingwood Drive, San Rafael",[-122.48020005   37.98443192]
"5200 Alcott Drive, Southeastern Sacramento, Sacramento",[-121.41875136   38.5288275 ]
"5900 61st Street, Southeastern Sacramento, Sacramento",[-121.43521894   38.5198155 ]
"1800 Golden Gate Drive, Napa",[-122.30266707   38.26032587]
"0 Harrison Avenue, Napa",[-122.30728272   38.29433311]
"400 Cartagena Way, American Canyon",[-122.23935553   38.16016779]
"1400 Pembroke Way, Dixon",[-121.83334259   38.45844265]
"400 20th Century Boulevard, Turlock",[-120.85532755   37.50669791]
"Chinatown / North Beach Campus, Russian Hill, San Francisco",[-122.41599862   37.80210308]
"2000 Little Orchard Street, South San Jose, San Jose",[-121.8742428   37.3052226]
"2400 Grahn Drive, SOS, Santa Rosa",[-122.69754764   38.4604112 ]
"0 Bass Court, Bayview, San Francisco",[-122.38392741   37.73397506]
"Bay Trail, Sunnyvale",[-121.98162151   37.44151667]
"500 Zook Road, Mountain View",[-122.05465087   37.4172796 ]
"700 South Pilgrim Street, Park, Stockton",[-121.27441993   37.94853557]
"200 Silverlake Drive, Lakewood, Sunnyvale",[-122.00485658   37.39612583]
"2400 Rockefeller Drive, Ceres",[-120.96903712   37.59307806]
"600 Hans Avenue, Cuesta Park, Mountain View",[-122.08350014   37.37867993]
"Mimosa Way, South San Jose, San Jose",[-121.76266092   37.23473767]
"5500 Haskell Avenue, Arcade Terrace, Carmichael",[-121.3362988   38.6490617]
"200 Northgate Avenue, Westlake, Daly City",[-122.48589956   37.70354539]
"1800 41st Avenue, Capitola",[-121.96663014   36.97481782]
"800 West Street, Hollister",[-121.40362311   36.848219  ]
"200 Alta Mesa Drive, Serra Highlands, South San Francisco",[-122.44696567   37.65569188]
"900 Veterans Boulevard, Redwood City",[-122.23059464   37.48939691]
"700 Kearney Street, Benicia",[-122.17190906   38.0939742 ]
"900 Barkley Street, West Davis Manor, Davis",[-121.77518867   38.55353467]
"800 Hudson Street, Davis",[-121.78450625   38.5499325 ]
"7500 Burch Road, Yuba City",[-121.64326258   39.02176486]
"0 Central Street, Orland",[-122.17759528   39.750272  ]
"Nimitz Freeway, Downtown Oakland, Oakland",[-122.26518787   37.79548031]
"300 Warwick Avenue, Adams Point, Oakland",[-122.25367763   37.81363337]
"900 Embarcadero West, West Oakland, Oakland",[-122.295348     37.79755077]
"100 Castro Lane, Kimber - Gomes, Fremont",[-121.93364382   37.56154539]
"41400 Mahoney Street, Irvington, Fremont",[-121.96233153   37.5287536 ]
"4500 De Silva Street, South Sundale, Fremont",[-121.97268107   37.53133727]
"1800 Merrill Road, Paradise",[-121.57439726   39.79034053]
"5000 Franklin Drive, Pleasanton",[-121.91005005   37.689188  ]
"1400 Rhododendron Drive, Springtown, Livermore",[-121.74776037   37.70960863]
"2800 Waverley Way, Livermore",[-121.76504119   37.69621474]
"4500 Contractors Place, Livermore",[-121.73241924   37.6962809 ]
"0 North Court Street, Martinez",[-122.14071843   38.02277771]
"15900 Via Paro, San Lorenzo",[-122.1314225   37.6815896]
"1300 Dennis Circle, Concord",[-122.0228195    37.96986272]
"California Delta Highway, Antioch",[-121.81674113   38.00058791]
"10600 Mount Vernon Road, Auburn",[-121.12503264   38.91688794]
"13000 New Airport Road, Auburn",[-121.04857058   38.94936638]
"100 Hinman Road, Redwood City",[-122.24040629   37.55422114]
"2800 Fair Oaks Avenue, Redwood City",[-122.20847218   37.47988311]
"6100 Eaglecrest Way, Rocklin",[-121.27823336   38.79923543]
"2000 South Airport Way, Park, Stockton",[-121.26748474   37.93223126]
"10400 Trinity Parkway, Bear Creek, Stockton",[-121.38908541   38.04866611]
"1200 East Pine Street, Lodi",[-121.26280108   38.13483746]
"Unnamed Road, San Juan Bautista",[-121.49111128   36.83294357]
"400 Moffett Boulevard, Mountain View",[-122.07514939   37.40104556]
"2000 California Street, Mountain View",[-122.09752167   37.39744292]
"900 Sycamore Drive, Midtown, Palo Alto",[-122.1230514   37.4376682]
"5700 Hoffman Lane, Fair Oaks",[-121.25612454   38.67086046]
"6700 Moselle Drive, South San Jose, San Jose",[-121.7838353    37.22961637]
"Eggplant Alley, Central Sacramento, Sacramento",[-121.49163544   38.58592989]
"600 South 22nd Street, Central San Jose, San Jose",[-121.86603408   37.33686342]
"1600 Forman Avenue, South San Jose, San Jose",[-121.90988182   37.26031982]
"3000 Harvestwood Court, East San Jose, San Jose",[-121.78959173   37.32784273]
"6600 Hespera Way, Stock Ranch Residential, Citrus Heights",[-121.29746465   38.68482335]
"4400 Prodperine Place, Sacramento",[-121.3513678   38.5429154]
"9300 Emerald Vista Drive, Elk Grove",[-121.38488525   38.41734483]
"9000 Sheldon Road, Elk Grove",[-121.36545464   38.43885836]
"8000 Stutz Court, Vintage Park, Sacramento",[-121.3783146   38.4649976]
"7900 Iona Way, Sacramento",[-121.40360814   38.47059   ]
"8600 Mackey Road, Elk Grove",[-121.31702056   38.42907956]
"300 Crescent Drive, Galt",[-121.30699006   38.26878024]
"Cosumnes River Boulevard, Southwestern Sacramento, Sacramento",[-121.46991943   38.46235741]
"9400 Soaring Oaks Drive, Elk Grove",[-121.41238669   38.41660446]
"5300 Laguna Park Drive, Elk Grove",[-121.43293494   38.42966578]
"1400 Laurel Glen Road, Soquel",[-121.96297235   37.04087056]
"Interstate 505, Vacaville",[-121.93828956   38.3949288 ]
"6100 Bodega Avenue, Petaluma",[-122.73503541   38.2631323 ]
"7600 Columbus Avenue, Hilmar",[-120.90084052   37.37388993]
"Ascot Parkway, Vallejo",[-122.21534942   38.12836325]
"100 Lakewood Avenue, Vallejo",[-122.20978294   38.10461047]
"1100 Benicia Road, Vallejo",[-122.21534748   38.09314861]
"100 San Marino Avenue, Vallejo",[-122.23731246   38.124844  ]
"1300 Claratina Avenue, Modesto",[-120.96950664   37.69701729]
"3800 Longbridge Drive, Modesto",[-121.02367805   37.69701775]
"3800 Finney Road, Modesto",[-121.08097089   37.69591744]
"1500 Mount Vernon Drive, Modesto",[-121.0239619    37.67525845]
"0 Florence Place, Salinas",[-121.629746     36.66963847]
"1700 Highland Street, Seaside",[-121.8297344    36.61255327]
"2200 Alabama Street, Atwater",[-120.60530567   37.35610622]
"2800 Moorpark Avenue, West San Jose, San Jose",[-121.946207     37.31706891]
"900 Nord Avenue, Chico",[-121.86275338   39.72950292]
"Hickam Terrace, Irvington, Fremont",[-121.96133386   37.53570193]
"0 Marvin Circle, Chico",[-121.8136735    39.75116333]
"400 L Street, Davis",[-121.737298     38.54747657]
"0 Valley View Road, Orinda",[-122.17959432   37.90400679]
"0 Sable Pointe, Alameda",[-122.24730384   37.74126579]
"2100 Manchester Road, San Leandro",[-122.10818216   37.70568771]
"1700 Doolittle Drive, Davis Tract, San Leandro",[-122.19088758   37.71352724]
"1000 Burkhart Avenue, Washington Manor - Bonaire, San Leandro",[-122.14032183   37.68560138]
"5600 Park Crest Drive, South San Jose, San Jose",[-121.89593613   37.23565208]
"900 Glenridge Drive, South San Jose, San Jose",[-121.8676857   37.2695368]
"27900 Ormond Avenue, Tennyson - Alquire, Hayward",[-122.07577977   37.62498038]
"30500 Whipple Road, Union City",[-122.08283157   37.59620552]
"3600 Page Street, Friendly Acres, Redwood City",[-122.18992821   37.48185957]
"300 Sequoia Avenue, Redwood City",[-122.22529319   37.45399473]
